Student_Name,School_Name,Area_Type,Gender,Caste,Standard,Age,Year,District,Dropout_Status,Dropout_Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
Pari Naik,Jain International School,Semi-Urban,Female,ST,8,13,2021,Dakshina Kannada,Enrolled,Not applicable,Primary,50000,67.74,90.125,21.6,2.95
Ishaan Seth,Mount Litera Zee School,Rural,Male,SC,3,8,2020,Ballari,Enrolled,Other,Secondary,50000,52.757,79.65,32.6,2.52
Sara Joshi,Sri Taralabalu Central School,Semi-Urban,Male,SC,5,10,2018,Ballari,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,23.6,1.73
Ayush Kumar,Maharishi Public School,Rural,Male,General,9,14,2022,Mysuru,Enrolled,Not applicable,Secondary,100000,67.74,95.31,43.5,3.84
Vihaan Chatterjee,Mount Litera Zee School,Rural,Female,OBC,4,9,2020,Bengaluru Urban,Enrolled,Poverty,Higher Secondary,15000,41.31,79.65,26.8,9.55
Pari Chatterjee,National Public School,Rural,Male,SC,2,7,2022,Bengaluru Rural,Enrolled,Not applicable,Primary,15000,70.23,90.125,48.7,2.83
Diya Singh,Maharishi Public School,Urban,Female,OBC,9,14,2018,Bengaluru Urban,Enrolled,Not applicable,Graduate,25000,67.74,90.125,38.6,0.84
Arjun Joshi,National Public School,Urban,Female,ST,4,9,2019,Tumakuru,Dropout,Child Labour,Secondary,50000,52.757,79.65,48.4,1.31
Laksh Shetty,Mount Litera Zee School,Semi-Urban,Female,ST,7,12,2020,Ballari,Enrolled,Not applicable,Post-Graduate,10000,67.74,90.125,44.4,1.4
Laksh Sen,Delhi Public School,Semi-Urban,Female,ST,8,13,2021,Tumakuru,Dropout,Other,Primary,25000,52.757,79.65,47.7,0.46
Tanvi Banerjee,Assisi Central School,Urban,Female,OBC,4,9,2019,Mysuru,Enrolled,Not applicable,Post-Graduate,60000,67.74,90.125,37.9,1.9
Rohan Kumar,Jain International School,Semi-Urban,Male,SC,2,7,2021,Dakshina Kannada,Dropout,Child Labour,No Schooling,100000,43.91,79.65,31.5,1.56
Tanvi Chatterjee,Jain International School,Rural,Female,General,7,12,2021,Ballari,Enrolled,Not applicable,Graduate,15000,67.74,100,24.2,9.86
Aditya Gowda,Assisi Central School,Rural,Female,ST,4,9,2018,Ballari,Enrolled,Not applicable,Primary,10000,70.29,94.38,30.9,3.67
Shreya Sharma,Mount Litera Zee School,Urban,Female,General,10,15,2020,Dharwad,Enrolled,Not applicable,Secondary,100000,67.74,94.52,25.8,1.98
Tanvi Chatterjee,Sri Taralabalu Central School,Urban,Female,OBC,4,9,2023,Dharwad,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,49,2.1
Anvi Sen,Mount Litera Zee School,Rural,Male,ST,4,9,2022,Shivamogga,Dropout,Other,Primary,10000,36.55,73.62,49.9,6.75
Aryan Das,Assisi Central School,Rural,Male,ST,2,7,2023,Bengaluru Rural,Dropout,Other,Secondary,10000,52.757,62.62,29.3,4.25
Anaya Joshi,Delhi Public School,Rural,Male,General,8,13,2023,Dakshina Kannada,Dropout,Family responsibilities,Secondary,50000,52.757,79.65,42.4,4.2
Shreya Roy,Freedom International School,Semi-Urban,Male,General,8,13,2024,Belagavi,Dropout,Lack of interest,No Schooling,10000,52.757,79.65,20.4,0.14
Diya Roy,Jain International School,Rural,Female,OBC,2,7,2021,Tumakuru,Enrolled,Lack of interest,No Schooling,50000,52.757,79.65,20.3,7.43
Riya Banerjee,Freedom International School,Rural,Male,OBC,2,7,2023,Shivamogga,Enrolled,Other,No Schooling,15000,52.757,79.65,39,2.47
Sara Chatterjee,New Oxford School,Urban,Male,OBC,2,7,2023,Ballari,Enrolled,Migration,Secondary,100000,52.757,79.65,29.2,1.41
Krishna Shetty,Jain International School,Urban,Female,General,6,11,2024,Dharwad,Enrolled,Not applicable,Secondary,15000,67.74,94.78,33.3,1.46
Vihaan Chatterjee,Delhi Public School,Rural,Male,OBC,1,6,2019,Tumakuru,Dropout,Child Labour,Primary,50000,52.757,79.65,37.3,7.5
Ira Naik,Assisi Central School,Urban,Male,General,8,13,2024,Udupi,Enrolled,Not applicable,No Schooling,10000,71.31,91.02,44.4,1
Tanvi Pai,Mount Litera Zee School,Rural,Male,OBC,10,15,2020,Bengaluru Rural,Enrolled,Family responsibilities,Primary,50000,52.757,79.65,37.1,2.71
Anvi Joshi,Jain International School,Rural,Male,SC,1,6,2022,Udupi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,36.6,9.54
Meera Pai,National Public School,Semi-Urban,Male,ST,9,14,2022,Bengaluru Urban,Enrolled,Not applicable,Primary,10000,67.74,98.46,27.1,0.36
Krishna Mehta,Sri Taralabalu Central School,Rural,Male,General,2,7,2021,Bengaluru Urban,Enrolled,Not applicable,Post-Graduate,15000,73.45,90.125,49.6,9.43
Anaya Joshi,Maharishi Public School,Urban,Female,SC,9,14,2023,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,34.5,1.71
Mira Shetty,Freedom International School,Rural,Female,OBC,1,6,2022,Dharwad,Enrolled,Not applicable,Primary,100000,67.74,90.125,37.9,5.13
Meera Pai,New Oxford School,Semi-Urban,Female,ST,1,6,2023,Shivamogga,Dropout,Bullying,Secondary,25000,44.76,79.65,28.1,1.71
Anvi Pandey,Mount Litera Zee School,Rural,Female,General,9,14,2022,Udupi,Dropout,Lack of interest,Primary,10000,52.757,79.65,34.5,9.9
Laksh Seth,Assisi Central School,Urban,Male,ST,2,7,2020,Tumakuru,Dropout,Other,No Schooling,50000,23.64,75.75,25.2,0.25
Krishna Ghosh,Mount Litera Zee School,Semi-Urban,Female,OBC,4,9,2024,Udupi,Enrolled,Not applicable,Secondary,25000,67.74,90.125,21.6,0.32
Arjun Patil,New Oxford School,Urban,Female,SC,10,15,2021,Ballari,Enrolled,Not applicable,Higher Secondary,50000,67.74,99.51,28.5,0.81
Saanvi Sen,Assisi Central School,Urban,Male,ST,5,10,2019,Dakshina Kannada,Dropout,Migration,Higher Secondary,25000,52.757,78.92,24.9,2.89
Rohan Pai,New Oxford School,Urban,Female,General,9,14,2018,Bengaluru Rural,Enrolled,Migration,Secondary,100000,52.757,78.95,33.8,2.31
Arjun Chopra,Delhi Public School,Urban,Female,SC,5,10,2018,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,75.59,90.125,25.8,1.97
Aarav Bhat,Maharishi Public School,Semi-Urban,Male,OBC,10,15,2021,Belagavi,Enrolled,Not applicable,Primary,100000,71.13,90.125,39.5,2.72
Aditya Shetty,PES Public School,Urban,Female,OBC,6,11,2019,Dharwad,Dropout,Bullying,No Schooling,25000,52.757,72.63,29.5,0.86
Meera Pandey,New Oxford School,Urban,Female,OBC,8,13,2018,Udupi,Dropout,Lack of interest,Secondary,50000,52.757,79.65,43,1.56
Mira Iyer,PES Public School,Semi-Urban,Female,ST,2,7,2023,Dharwad,Dropout,Family responsibilities,Secondary,60000,52.757,79.65,29.8,1.92
Rohan Verma,PES Public School,Semi-Urban,Female,SC,9,14,2018,Bengaluru Rural,Enrolled,Not applicable,Primary,25000,67.74,90.125,38.3,1.53
Sneha Mehta,Maharishi Public School,Urban,Male,General,6,11,2018,Dakshina Kannada,Dropout,Migration,Higher Secondary,50000,52.757,79.65,35,1.73
Vihaan Nair,New Oxford School,Rural,Female,OBC,9,14,2022,Bengaluru Rural,Enrolled,Long distance to school,Higher Secondary,50000,52.757,79.65,40,2.45
Krishna Desai,Assisi Central School,Urban,Male,General,2,7,2023,Tumakuru,Enrolled,Not applicable,Higher Secondary,15000,77.1,90.53,25.5,1.66
Ayush Shetty,Maharishi Public School,Semi-Urban,Female,SC,1,6,2023,Shivamogga,Dropout,Bullying,Primary,25000,52.757,64.5,39.5,0.34
Meera Jain,New Oxford School,Semi-Urban,Female,SC,5,10,2022,Mysuru,Dropout,Bullying,No Schooling,10000,52.757,79.65,21.1,0.36
Mira Kumar,National Public School,Rural,Female,OBC,5,10,2023,Tumakuru,Enrolled,Not applicable,Primary,15000,67.74,90.125,32.6,1.85
Sara Bhat,Jain International School,Urban,Male,SC,9,14,2024,Shivamogga,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,21.8,1.26
Priya Reddy,Mount Litera Zee School,Semi-Urban,Male,OBC,4,9,2021,Belagavi,Dropout,Long distance to school,Secondary,25000,31.77,69.83,29.9,1.7
Ira Rao,Mount Litera Zee School,Semi-Urban,Male,General,10,15,2019,Bengaluru Rural,Enrolled,Not applicable,Secondary,50000,67.74,90.125,47.3,2.89
Aditya Patil,Mount Litera Zee School,Rural,Female,ST,10,15,2019,Bengaluru Rural,Enrolled,Lack of interest,Secondary,50000,16.18,79.65,22.6,5.21
Vihaan Verma,Freedom International School,Rural,Female,General,10,15,2022,Mysuru,Dropout,Migration,Primary,15000,52.757,63.73,23.6,1.19
Reyansh Naik,PES Public School,Semi-Urban,Female,ST,4,9,2021,Bengaluru Rural,Dropout,Bullying,Primary,15000,52.757,79.65,48.7,1.34
Aryan Singh,Maharishi Public School,Urban,Female,General,5,10,2023,Ballari,Dropout,Lack of interest,Graduate,10000,52.757,64.74,47.4,1.55
Anvi Sharma,Assisi Central School,Semi-Urban,Female,General,3,8,2018,Mysuru,Enrolled,Long distance to school,No Schooling,50000,52.757,79.65,27.7,2.12
Dhruv Pai,Freedom International School,Urban,Male,SC,9,14,2024,Shivamogga,Enrolled,Not applicable,Secondary,25000,81.16,90.125,44.8,0.93
Arjun Jain,Delhi Public School,Urban,Female,SC,10,15,2018,Mysuru,Enrolled,Not applicable,Higher Secondary,25000,77.23,99.56,26.6,1.72
Aryan Verma,National Public School,Urban,Female,General,1,6,2023,Mysuru,Enrolled,Not applicable,Primary,25000,67.74,90.125,46.6,2.59
Riya Seth,New Oxford School,Rural,Male,OBC,8,13,2022,Tumakuru,Enrolled,Not applicable,Secondary,25000,67.74,90.125,30,8.33
Laksh Patil,Maharishi Public School,Semi-Urban,Female,OBC,3,8,2022,Dakshina Kannada,Dropout,Family Issues,Post-Graduate,25000,36.21,79.65,37.1,0.72
Dhruv Pandey,Freedom International School,Urban,Male,SC,4,9,2019,Bengaluru Urban,Dropout,Long distance to school,Primary,25000,33.32,76.22,31.8,0.53
Meera Joshi,Freedom International School,Semi-Urban,Female,SC,9,14,2022,Dakshina Kannada,Enrolled,Not applicable,Primary,50000,100,95.61,22.5,2.72
Kabir Rao,Mount Litera Zee School,Rural,Male,OBC,9,14,2021,Ballari,Enrolled,Not applicable,Secondary,15000,67.74,90.125,25,1.64
Aadhya Singh,New Oxford School,Rural,Female,General,6,11,2022,Ballari,Enrolled,Not applicable,Secondary,100000,99.67,93.76,44,4.23
Laksh Roy,National Public School,Rural,Female,General,9,14,2024,Tumakuru,Enrolled,Not applicable,Secondary,10000,67.74,100,21.5,2.44
Aditya Gupta,PES Public School,Urban,Female,OBC,3,8,2022,Bengaluru Urban,Dropout,Child Labour,Post-Graduate,50000,50.74,77.67,48.6,2.88
Riya Gowda,Assisi Central School,Semi-Urban,Female,SC,3,8,2024,Ballari,Enrolled,Other,Secondary,10000,52.757,79.65,33.1,0.77
Sara Ghosh,Assisi Central School,Urban,Male,OBC,5,10,2024,Shivamogga,Dropout,Family Issues,Secondary,10000,50.1,79.65,21.5,0.92
Aryan Das,Jain International School,Rural,Male,General,2,7,2018,Mysuru,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,47.3,7.16
Ayush Pai,Freedom International School,Rural,Female,ST,9,14,2018,Mysuru,Enrolled,Health issues,No Schooling,25000,52.757,79.65,49.2,8.58
Saanvi Ghosh,Mount Litera Zee School,Urban,Female,OBC,2,7,2020,Ballari,Enrolled,Financial hardship,Graduate,100000,52.757,79.65,40.2,0.65
Mira Sharma,PES Public School,Urban,Female,OBC,3,8,2018,Mysuru,Enrolled,Not applicable,Primary,50000,100,91.68,21.5,1.77
Aarav Patil,New Oxford School,Rural,Female,General,2,7,2023,Dharwad,Enrolled,Other,Primary,25000,52.757,79.65,22.5,9.56
Rohan Das,Delhi Public School,Rural,Male,General,4,9,2023,Bengaluru Urban,Enrolled,Migration,Higher Secondary,25000,52.44,79.65,33.3,2.38
Aditya Ghosh,Delhi Public School,Urban,Female,ST,8,13,2024,Shivamogga,Enrolled,Lack of interest,Graduate,10000,52.757,79.65,31.4,2.8
Sneha Rao,Delhi Public School,Urban,Female,SC,6,11,2024,Mysuru,Dropout,Child Labour,No Schooling,50000,52.757,75.75,26.3,0.71
Priya Roy,Mount Litera Zee School,Semi-Urban,Female,ST,9,14,2024,Bengaluru Rural,Enrolled,Not applicable,Graduate,50000,67.74,94.15,20.3,2.53
Aadhya Shetty,Assisi Central School,Urban,Male,ST,4,9,2024,Tumakuru,Dropout,Family responsibilities,Secondary,50000,52.757,79.65,31.3,2.24
Sneha Rao,Freedom International School,Rural,Female,SC,10,15,2022,Udupi,Enrolled,Not applicable,No Schooling,25000,67.74,92.13,32.2,8.05
Tanvi Joshi,National Public School,Semi-Urban,Female,ST,10,15,2018,Dharwad,Enrolled,Family Issues,Graduate,50000,46.49,72.07,33.1,1.52
Riya Gupta,Assisi Central School,Urban,Female,ST,5,10,2018,Mysuru,Enrolled,Not applicable,Higher Secondary,15000,68.21,90.125,48.6,0.85
Meera Pai,Mount Litera Zee School,Semi-Urban,Female,SC,8,13,2024,Dharwad,Dropout,Child Labour,No Schooling,25000,52.757,79.65,40.1,0.54
Mira Iyer,Maharishi Public School,Urban,Female,SC,8,13,2021,Shivamogga,Enrolled,Migration,Graduate,10000,52.757,79.65,29.5,0.63
Ishaan Chopra,PES Public School,Semi-Urban,Male,ST,10,15,2023,Bengaluru Urban,Dropout,Other,No Schooling,15000,52.757,79.65,41.8,1.21
Kabir Pai,Jain International School,Rural,Male,ST,3,8,2018,Dharwad,Enrolled,Lack of interest,Primary,15000,52.757,74.76,50,4.23
Ishaan Sharma,Delhi Public School,Rural,Female,ST,2,7,2021,Tumakuru,Dropout,Health issues,Secondary,25000,52.757,76.88,49.6,5.42
Arjun Joshi,Sri Taralabalu Central School,Rural,Female,SC,9,14,2023,Bengaluru Rural,Enrolled,Not applicable,Secondary,50000,67.74,90.125,28.4,7.51
Riya Reddy,Maharishi Public School,Rural,Male,ST,2,7,2021,Mysuru,Dropout,Other,Higher Secondary,10000,52.757,74.67,31.8,4.84
Sara Shetty,Freedom International School,Rural,Male,ST,6,11,2022,Dakshina Kannada,Dropout,Family responsibilities,Secondary,10000,52.757,68.45,48.8,3.23
Tanvi Sen,Sri Taralabalu Central School,Urban,Male,SC,7,12,2019,Shivamogga,Enrolled,Not applicable,Primary,25000,67.74,90.125,43.3,2.11
Aditya Seth,Freedom International School,Semi-Urban,Male,General,3,8,2018,Shivamogga,Dropout,Lack of interest,Secondary,60000,52.757,79.65,43,2.63
Ira Nair,Maharishi Public School,Urban,Male,General,3,8,2023,Mysuru,Dropout,Health issues,Higher Secondary,50000,52.38,79.65,25,1.39
Tanvi Nair,National Public School,Semi-Urban,Male,OBC,6,11,2021,Mysuru,Enrolled,Not applicable,No Schooling,15000,78.99,90.125,28.9,1.46
Aadhya Aggarwal,Assisi Central School,Semi-Urban,Female,OBC,9,14,2021,Bengaluru Rural,Enrolled,Lack of interest,Higher Secondary,15000,52.46,79.65,46,2.45
Aryan Rao,Mount Litera Zee School,Semi-Urban,Male,ST,1,6,2021,Belagavi,Enrolled,Not applicable,Secondary,100000,74.21,90.125,27.7,0.21
Aryan Ghosh,Assisi Central School,Semi-Urban,Female,General,1,6,2018,Shivamogga,Dropout,Long distance to school,Secondary,10000,52.757,79.65,42.7,1.58
Kabir Rao,Mount Litera Zee School,Urban,Male,General,3,8,2018,Shivamogga,Enrolled,Migration,Secondary,50000,52.757,79.65,34.5,0.91
Anaya Joshi,Mount Litera Zee School,Rural,Female,SC,2,7,2019,Bengaluru Rural,Dropout,Financial hardship,No Schooling,10000,52.757,79.65,30.5,3.39
Krishna Shetty,Delhi Public School,Semi-Urban,Male,SC,5,10,2023,Mysuru,Dropout,Other,Secondary,60000,52.757,79.65,30.4,2.74
Rohan Roy,Freedom International School,Urban,Male,OBC,6,11,2020,Ballari,Enrolled,Not applicable,Primary,10000,67.74,90.125,27.2,1.5
Diya Nair,Jain International School,Semi-Urban,Female,OBC,3,8,2023,Mysuru,Enrolled,Not applicable,Graduate,25000,67.74,90.125,48.2,2.31
Aryan Reddy,New Oxford School,Semi-Urban,Female,SC,8,13,2021,Udupi,Enrolled,Not applicable,Primary,25000,67.74,90.125,31.1,1.78
Diya Reddy,Jain International School,Rural,Female,General,7,12,2023,Belagavi,Enrolled,Not applicable,Higher Secondary,100000,70.25,90.125,43.5,8.05
Diya Gupta,Delhi Public School,Semi-Urban,Female,OBC,1,6,2019,Dakshina Kannada,Dropout,Family responsibilities,No Schooling,60000,52.757,79.65,21.2,2.68
Saanvi Singh,Maharishi Public School,Semi-Urban,Female,OBC,10,15,2024,Mysuru,Enrolled,Not applicable,Secondary,10000,67.74,90.7,40.8,2.83
Aditya Naik,Delhi Public School,Urban,Male,General,6,11,2019,Dharwad,Dropout,Other,Higher Secondary,25000,49.21,79.65,49.8,2.73
Reyansh Gupta,New Oxford School,Urban,Female,General,9,14,2020,Shivamogga,Enrolled,Not applicable,No Schooling,10000,67.74,99.67,30,0.33
Sara Das,Sri Taralabalu Central School,Rural,Male,ST,2,7,2024,Ballari,Dropout,Poverty,Graduate,10000,52.757,79.65,23.6,1.91
Vivaan Pai,Assisi Central School,Urban,Female,SC,2,7,2019,Mysuru,Enrolled,Not applicable,Graduate,50000,84.37,90.125,36.9,2.17
Sneha Patil,Jain International School,Rural,Male,ST,2,7,2020,Bengaluru Urban,Enrolled,Child Labour,Higher Secondary,60000,52.757,79.65,45.7,1.92
Vihaan Pandey,Mount Litera Zee School,Semi-Urban,Female,ST,5,10,2024,Bengaluru Urban,Enrolled,Not applicable,Primary,50000,67.74,90.125,29.6,1.3
Laksh Banerjee,Delhi Public School,Rural,Male,ST,9,14,2018,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,10000,77.47,94.97,32.9,1.31
Sneha Rao,Jain International School,Rural,Female,OBC,9,14,2022,Udupi,Enrolled,Not applicable,No Schooling,25000,88.1,90.125,27.2,8.4
Krishna Nair,Jain International School,Semi-Urban,Male,SC,10,15,2021,Udupi,Enrolled,Not applicable,Primary,60000,69.29,90.125,32,1.53
Pari Ghosh,New Oxford School,Urban,Male,ST,4,9,2020,Tumakuru,Enrolled,Not applicable,Post-Graduate,25000,67.74,90.125,21.2,0.31
Rohan Gowda,Sri Taralabalu Central School,Semi-Urban,Female,General,3,8,2024,Belagavi,Enrolled,Not applicable,Primary,25000,67.74,92.21,34.2,0.81
Sneha Gowda,PES Public School,Semi-Urban,Female,SC,6,11,2023,Tumakuru,Enrolled,Financial hardship,Primary,15000,52.757,79.65,25.6,1.5
Harsh Banerjee,Delhi Public School,Rural,Female,ST,2,7,2021,Bengaluru Rural,Enrolled,Not applicable,Primary,50000,67.74,90.125,37.5,7.24
Aditya Roy,New Oxford School,Urban,Male,ST,3,8,2023,Bengaluru Rural,Enrolled,Not applicable,Secondary,50000,67.74,90.125,21.5,1.51
Reyansh Das,Delhi Public School,Rural,Male,SC,2,7,2019,Mysuru,Enrolled,Health issues,Post-Graduate,10000,37.16,67.06,30.1,4.26
Reyansh Naik,Jain International School,Urban,Male,SC,6,11,2021,Shivamogga,Enrolled,Other,No Schooling,15000,52.757,79.65,27,1.48
Meera Desai,National Public School,Semi-Urban,Female,OBC,5,10,2021,Tumakuru,Dropout,Other,Primary,10000,52.757,68.17,32.1,1.5
Vivaan Naik,New Oxford School,Semi-Urban,Male,OBC,10,15,2019,Shivamogga,Enrolled,Not applicable,Higher Secondary,25000,71.69,90.125,28.7,1.61
Meera Singh,Freedom International School,Urban,Female,SC,7,12,2020,Bengaluru Rural,Enrolled,Poverty,Primary,10000,50.07,66.2,43,0.87
Aditya Jain,Maharishi Public School,Rural,Male,General,10,15,2019,Ballari,Enrolled,Not applicable,Primary,60000,76.61,90.125,25.7,9.66
Anaya Rao,Delhi Public School,Rural,Male,ST,7,12,2021,Shivamogga,Dropout,Bullying,No Schooling,50000,43.04,74.49,40.8,2.05
Ayush Pandey,Maharishi Public School,Semi-Urban,Female,SC,8,13,2018,Udupi,Dropout,Child Labour,No Schooling,60000,39.31,79.65,47.6,1.95
Sara Gowda,Jain International School,Urban,Male,OBC,9,14,2018,Bengaluru Urban,Enrolled,Not applicable,Secondary,50000,81.65,90.125,26.5,0.32
Sneha Pandey,Jain International School,Semi-Urban,Female,SC,10,15,2019,Ballari,Enrolled,Not applicable,Higher Secondary,25000,72.44,90.125,28.8,2.87
Krishna Sharma,New Oxford School,Rural,Male,ST,1,6,2021,Mysuru,Enrolled,Not applicable,Primary,15000,72.16,90.125,45.8,4.75
Meera Aggarwal,Assisi Central School,Urban,Female,SC,7,12,2019,Ballari,Enrolled,Not applicable,Secondary,25000,73.82,90.125,21.9,2.32
Mira Pai,New Oxford School,Semi-Urban,Female,ST,8,13,2020,Bengaluru Urban,Enrolled,Lack of interest,Primary,60000,52.757,79.65,41.6,0.8
Aarav Aggarwal,Sri Taralabalu Central School,Semi-Urban,Female,ST,7,12,2023,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,25000,67.74,90.74,39.4,2.09
Aadhya Desai,National Public School,Semi-Urban,Male,ST,7,12,2024,Bengaluru Rural,Dropout,Lack of interest,Secondary,10000,47.57,77.88,33.1,1.82
Ishaan Shetty,Sri Taralabalu Central School,Rural,Female,OBC,1,6,2024,Bengaluru Urban,Enrolled,Health issues,Graduate,10000,43.5,79.65,34.1,1.88
Rohan Kumar,Delhi Public School,Urban,Male,General,1,6,2022,Dakshina Kannada,Dropout,Family Issues,Secondary,15000,52.757,79.65,23.9,1.89
Priya Pandey,Sri Taralabalu Central School,Rural,Female,General,7,12,2023,Mysuru,Enrolled,Not applicable,No Schooling,25000,70.8,90.125,29.3,6.22
Sara Jain,Freedom International School,Urban,Female,ST,10,15,2019,Bengaluru Rural,Enrolled,Not applicable,Secondary,60000,67.74,90.125,49.7,1.18
Arjun Desai,Sri Taralabalu Central School,Urban,Female,OBC,10,15,2024,Dakshina Kannada,Enrolled,Migration,Primary,25000,52.757,74.5,26.1,0.86
Pari Roy,Mount Litera Zee School,Semi-Urban,Male,OBC,9,14,2019,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,23.7,0.38
Ira Chatterjee,Mount Litera Zee School,Semi-Urban,Male,General,8,13,2019,Tumakuru,Enrolled,Not applicable,Primary,15000,68.77,100,28.3,1.85
Anaya Das,Mount Litera Zee School,Semi-Urban,Male,OBC,6,11,2018,Udupi,Dropout,Financial hardship,Higher Secondary,10000,52.757,76.61,43.1,1.48
Ayush Rao,Maharishi Public School,Semi-Urban,Male,General,5,10,2021,Dakshina Kannada,Dropout,Health issues,Secondary,25000,52.757,73.98,25.1,2.34
Reyansh Pandey,Assisi Central School,Rural,Female,SC,6,11,2024,Dharwad,Dropout,Family Issues,Secondary,50000,52.757,79.65,44.2,5.66
Anaya Patil,Mount Litera Zee School,Semi-Urban,Female,General,1,6,2022,Mysuru,Enrolled,Not applicable,Secondary,50000,67.74,90.125,21.2,0.21
Aditya Roy,Sri Taralabalu Central School,Urban,Female,ST,3,8,2024,Shivamogga,Enrolled,Long distance to school,Primary,15000,28.17,79.65,30.2,2.62
Laksh Das,Assisi Central School,Urban,Female,General,7,12,2023,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,15000,67.74,99.51,47.5,2.44
Anvi Gupta,Maharishi Public School,Rural,Male,General,3,8,2021,Bengaluru Rural,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,41.8,6.1
